,art,sub or obj
0,smart and alert,1
1,thirteen conversations about one thing is a small gem .,1
2,color,1
3,musical bounce and warm seas lapping on island shores . and just enough science to send you home thinking .,1
4,it is not a mass-market entertainment but an uncompromising attempt by one artist to think about another .,1
5,a light-hearted french film about the spiritual quest of a fashion model seeking peace of mind while in a love affair with a veterinarian who is a non-practicing jew .,1
6,my wife is an actress has its moments in looking at the comic effects of jealousy . in the end,1
7,though,1
8,it is only mildly amusing when it could have been so much more .,1
9,works both as an engaging drama and an incisive look at the difficulties facing native americans .,1
10,even a hardened voyeur would require the patience of job to get through this interminable,1
11,shapeless documentary about the swinging subculture .,1
12,when perry fists a bull at the moore farm,1
13,it's only a matter of time before he gets the upper hand in matters of the heart .,1
14,the characters . . . are paper-thin,1
15,and their personalities undergo radical changes when it suits the script .,1
16,the script is a tired one,1
17,with few moments of joy rising above the stale material .,1
18,the bland outweighs the nifty,1
19,and cletis tout never becomes the clever crime comedy it thinks it is .,1
20,directed by david twohy with the same great eye for eerie understatement that he brought to pitch black .,1
21,it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .,1
22,provides the kind of 'laugh therapy' i need from movie comedies -- offbeat humor,1
23,amusing characters,1
24,and a happy ending . after seeing 'analyze that,1
25,' i feel better already .,1
26,worth a look by those on both sides of the issues,1
27,if only for the perspective it offers,1
28,one the public rarely sees .,1
29,watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it .,1
30,despite these annoyances,1
31,the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age .,1
32,it's a good thing that woolly mammoths are extinct,1
33,because this movie will have every kid in the schoolyard wishing for their very own .,1
34,preposterous and tedious,1
35,sonny is spiked with unintentional laughter that,1
36,unfortunately,1
37,occurs too infrequently to make the film even a guilty pleasure .,1
38,4ever has the same sledgehammer appeal as pokemon videos,1
39,but it breathes more on the big screen and induces headaches more slowly .,1
40,si el siglo xxi necesita de hÃ©roes,1
41,el hombre araÃ±a parece haber llegado para quedarse .,1
42,it's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins .,1
43,it desperately wants to be a wacky,1
44,screwball comedy,1
45,but the most screwy thing here is how so many talented people were convinced to waste their time .,1
46,writer/director walter hill is in his hypermasculine element here,1
47,once again able to inject some real vitality and even art into a pulpy concept that,1
48,in many other hands would be completely forgettable .,1
49,hill looks to be going through the motions,1
50,beginning with the pale script .,1
51,extremely well cast,1
52,especially in the large number of supporting roles .,1
53,a chilling tale of one of the great crimes of 20th century france : the murder of two rich women by their servants in 1933 .,1
54,a dark,1
55,quirky road movie that constantly defies expectation .,1
56,impostor doesn't do much with its template,1
57,despite a remarkably strong cast .,1
58,though it lacks the utter authority of a genre gem,1
59,there's a certain robustness to this engaging mix of love and bloodletting .,1
60,if you can keep your eyes open amid all the blood and gore,1
61,you'll see del toro has brought unexpected gravity to blade ii .,1
62,there's undeniable enjoyment to be had from films crammed with movie references,1
63,but the fun wears thin -- then out -- when there's nothing else happening .,1
64,a work that lacks both a purpose and a strong pulse .,1
65,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1
66,a mimetic approximation of better films like contempt and 8 1/2 .,1
67,eastwood is an icon of moviemaking,1
68,one of the best actors,1
69,directors and producers around,1
70,responsible for some excellent work . but even a hero can stumble sometimes .,1
71,nair doesn't use [monsoon wedding] to lament the loss of culture . instead,1
72,she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions .,1
73,stuffed to the brim with ideas,1
74,american instigator michael moore's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition .,1
75, . . . a joke at once flaky and resonant,1
76,lightweight and bizarrely original .,1
77,fontaine's direction,1
78,especially her agreeably startling use of close-ups and her grace with a moving camera,1
79,creates sheerly cinematic appeal .,1
80,starts slowly,1
81,but adrien brody Â– in the title role Â– helps make the film's conclusion powerful and satisfying .,1
82,a refreshing change from the usual whoopee-cushion effort aimed at the youth market .,1
83,you really have to salute writer-director haneke ( he adapted elfriede jelinek's novel ) for making a film that isn't nearly as graphic but much more powerful,1
84,brutally shocking and difficult to watch .,1
85,barry convinces us he's a dangerous,1
86,secretly unhinged guy who could easily have killed a president because it made him feel powerful .,1
87,a distant,1
88,even sterile,1
89,yet compulsively watchable look at the sordid life of hogan's heroes star bob crane .,1
90,there's no disguising this as one of the worst films of the summer . or for the year,1
91,for that matter .,1
92,director dan verete uses his camera as the metaphoric needle,1
93,and his cast in each segment as his thread,1
94,to form a sweeping tapestry of mis-explanation and contention .,1
95,waydowntown just like most large cities,1
96,isn't somewhere you'll want to spend the rest of your life,1
97,but it sure is a fun place to visit for a while .,1
98,the acting in pauline and paulette is good all round,1
99,but what really sets the film apart is debrauwer's refusal to push the easy emotional buttons .,1
100,the only young people who possibly will enjoy it are infants . . . who might be distracted by the movie's quick movements and sounds .,1
101,there's lots of cool stuff packed into espn's ultimate x .,1
102,it gets old quickly . watch barbershop again if you're in need of a cube fix--this isn't worth sitting through .,1
103,harland williams is so funny in drag he should consider permanent sex-reassignment .,1
104,the film's images give a backbone to the company and provide an emotional edge to its ultimate demise .,1
105,it's the kind of film where the villain even gives an evil look for his passport photo . how can you resist that ?,1
106,plotless collection of moronic stunts is by far the worst movie of the year .,1
107,a broad,1
108,melodramatic estrogen opera that's pretty toxic in its own right .,1
109,just a kiss wants desperately to come off as a fanciful film about the typical problems of average people . but it is set in a world that is very,1
110,very far from the one most of us inhabit .,1
111,this is a movie where the most notable observation is how long you've been sitting still .,1
112,with a romantic comedy plotline straight from the ages,1
113,this cinderella story doesn't have a single surprise up its sleeve . but it does somehow manage to get you under its spell .,1
114,a charming trifle . . . a welcome return to jocular form .,1
115,it's not difficult to spot the culprit early-on in this predictable thriller .,1
116,without the dark spookiness of crystal lake camp,1
117,the horror concept completely loses its creepy menace .,1
118,there's suspension of disbelief and then there's bad screenwriting . . . this film packs a wallop of the latter .,1
119,little more than a stylish exercise in revisionism whose point . . . is no doubt true,1
120,but serves as a rather thin moral to such a knowing fable .,1
121,anyone who can count to five ( the film's target market ? ) can see where this dumbed-down concoction is going .,1
122,every defiantly over-the-top action scene -- from high-stakes car chases to fearsome drug busts -- seizes your adrenal gland and milks it like an epileptic farmer .,1
123,kosminsky . . . puts enough salt into the wounds of the tortured and self-conscious material to make it sting .,1
124,a sobering and powerful documentary about the most severe kind of personal loss : rejection by one's mother .,1
125,if the story lacks bite,1
126,the performances are never less than affectionate .,1
127,a deftly entertaining film,1
128,smartly played and smartly directed .,1
129,ice age is the first computer-generated feature cartoon to feel like other movies,1
130,and that makes for some glacial pacing early on .,1
131,i like my christmas movies with more elves and snow and less pimps and ho's .,1
132,ferrara's strongest and most touching movie of recent years .,1
133,skip work to see it at the first opportunity .,1
134,both the film and nachtwey's photos hammer home the grim reality of the world's gutters and battlefields,1
135,and will make you question what 'news' really is .,1
136,so relentlessly wholesome it made me want to swipe something .,1
137,shyamalan offers copious hints along the way -- myriad signs,1
138,if you will -- that beneath the familiar,1
139,funny surface is a far bigger,1
140,far more meaningful story than one in which little green men come to earth for harvesting purposes .,1
141,that 'alabama' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of witherspoon ( who is always a joy to watch,1
142,even when her material is not first-rate ) . . .,1
143,against all odds in heaven and hell,1
144,it creeped me out just fine .,1
145,nicely combines the enigmatic features of 'memento' with the hallucinatory drug culture of 'requiem for a dream . ',1
146,it is a film that will have people walking out halfway through,1
147,will encourage others to stand up and applaud,1
148,and will,1
149,undoubtedly,1
150,leave both camps engaged in a ferocious debate for years to come .,1
151,japan's premier stylist of sex and blood hits audiences with what may be his most demented film to date .,1
152,the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them . strange occurrences build in the mind of the viewer and take on extreme urgency .,1
153,in the spirit of voltaire and moliÃ¨re,1
154,on guard volleys great wit and deadly gestures in a milieu of lush apparel,1
155,landscapes,1
156,captivating music and 18th-century lacy sleeves .,1
157,while holm is terrific as both men and hjejle quite appealing,1
158,the film fails to make the most out of the intriguing premise .,1
159,while hollywood ending has its share of belly laughs ( including a knockout of a closing line ),1
160,the movie winds up feeling like a great missed opportunity .,1
